0xdaf3963c26db74682d84cf8899ec1502429a2946,bacon,bacon
0xee1ed19e6d5aca3c89e21a9c2df6572c3b2dbbfc,bacon,bacon
0x8523c9e4056b757c513526f4b9e2598b181b9b44,bacon,bacon
0x781ad73f140815763d9a4d4752daf9203361d07d,bacon,bacon
0xe2220ea7da2e20e038a93e9131aa0e0eea1d0830,bacon,bacon
0x9c17aeeb2f5ddd797bbf7e818a959fcfec6168d6,bacon,bacon
0xe92d07270433dc6dd9ff1ed637acd792d15d761c,bacon,bacon
0xdaf3963c26db74682d84cf8899ec1502429a2946,bacon,bacon
0xee1ed19e6d5aca3c89e21a9c2df6572c3b2dbbfc,bacon,bacon
0x8523c9e4056b757c513526f4b9e2598b181b9b44,bacon,bacon
0x781ad73f140815763d9a4d4752daf9203361d07d,bacon,bacon
0xe2220ea7da2e20e038a93e9131aa0e0eea1d0830,bacon,bacon
0x9c17aeeb2f5ddd797bbf7e818a959fcfec6168d6,bacon,bacon
0x0f8eb98ff43235d18f9f789ad74e54bf7553c2dd,akropolis,akropolis
0xaaa79b67f46e1ddd90c6cac1eb407646d7b7a2b2,akropolis,akropolis
0xf441861de50d2ed44a895541f60521eba4cefe19,akropolis,akropolis
0x8979da41110cde42719226ddb86cb801369be35d,akropolis,akropolis
0xfebfd5c75c32a23739eb1935c80248436248e296,akropolis,akropolis
0x4b2464d5ffab717ab0bd26e5e30cb432b47e1eed,akropolis,akropolis
0x1cec0e358f882733c5ecc028d8a0c24baee02004,akropolis,akropolis
0x9ba1cf4659bb5617a6aa86bf1503848bee9888a9,akropolis,akropolis
0xe92d07270433dc6dd9ff1ed637acd792d15d761c,bacon,bacon
0xdaf3963c26db74682d84cf8899ec1502429a2946,bacon,bacon
0xee1ed19e6d5aca3c89e21a9c2df6572c3b2dbbfc,bacon,bacon
0x8523c9e4056b757c513526f4b9e2598b181b9b44,bacon,bacon
0x781ad73f140815763d9a4d4752daf9203361d07d,bacon,bacon
0xe2220ea7da2e20e038a93e9131aa0e0eea1d0830,bacon,bacon
0x9c17aeeb2f5ddd797bbf7e818a959fcfec6168d6,bacon,bacon
0xec530877efeb8d9e0dd38040f515080a19418bad,bacon,bacon
0xa7e737c56c33630210c5e0f12608f0c6308c8012,bacon,bacon
0xc01f096cfc8e2b34dbeeb5a979b9359969be08da,bacon,bacon
0x0113de6b8433dee1259e5d69330847b08e7559bf,bacon,bacon
0x3da8d917e406f7ac22ab985870a2f755bbf3d59f,bacon,bacon
0xc8d9ac11c125dfe2a69d3a7e11e958dc95f3e3fa,bacon,bacon
0xd492d6a27829c3e35fb4b03d1cded6e7021821ca,bacon,bacon
0xded1219b5ba4da3a9d57c9f12c0d5da50f2fc4a2,bt_finance_eth,bt_finance_eth
0x11ba2b39bc80464c14b7eea54d2ec93d8f60e7b8,bzx_dai,bzx_dai
0xbab2cb0d30b0ad16464f44715bede335bb1fa708,bzx_dai,bzx_dai
0x06d81ec393f5fbf5d7bc7fbe8cf44c76c5774b59,bzx_dai,bzx_dai
0xe934a491e10c72eec085561bdc02f79e6a2c641d,bzx_dai,bzx_dai
0xfb772316a54dcd439964b561fc2c173697aeeb5b,bzx_dai,bzx_dai
0x1e9682d8c780790a5d5a9cb234634c8cc849e0b5,bzx_dai,bzx_dai
0xd172991bcac4bd80e04d3e267513dd4ef88ccfe7,bzx_dai,bzx_dai
0x5531188e72e63ee80e695099b36a15fdddcee6aa,bzx_dai,bzx_dai
0xcd273a029fb6aaa89ca9a7101c5901b1f429d457,bzx_dai,bzx_dai
0xd154ee4982b83a87b0649e5a7dda1514812afe1f,bzx_dai,bzx_dai
0xf7eb8b08c8860d494d8d8fb6529c46df599987bb,bzx_dai,bzx_dai
0x292fa18c5fa55108655aef1297441d7f22e6a048,bzx_dai,bzx_dai
0x7f5f0f682e45399ee428628ced7b2e8ba969a29c,bzx_dai,bzx_dai
0x6594700ef0b793fdd5408404146bd3754b9579f1,bzx_dai,bzx_dai
0x4cb1292d6a860ca1b0991fc7dfa30a656ef7e7c7,bzx_dai,bzx_dai
0x07f1bec2b6909e2ca20ee49f27bc4411f9c42246,bzx_dai,bzx_dai
0x471b40d3f490150e2dc581e01d14440dd3c1ce03,bzx_dai,bzx_dai
0xd16583c912bda99c2919256c58e19dcbdf55e7b6,bzx_dai,bzx_dai
0x193495072f4beaef219bf6e075dcb3692a673fab,bzx_dai,bzx_dai
0x7a4325cff79c28356a467b81b266c29f24fd1756,bzx_dai,bzx_dai
0x5bf4ff5d8cbf2961896abc1f7499f361356808bb,bzx_dai,bzx_dai
0xce65511095d1d4ed2fd441e78985c703bffc12f8,bzx_dai,bzx_dai
0xf32099a9972d7a20d902cb787141f41d6150afec,bzx_dai,bzx_dai
0xf4668c82e9c68abbfb608ff21a8ee3b7853731b7,bzx_dai,bzx_dai
0x2aef4f6f03ca70b8276bbe93d4d8792093e609e2,bzx_dai,bzx_dai
0xe9d66df4c7130e303c98b9d0e47725b5194fb672,bzx_dai,bzx_dai
0xb340e2c0431efbd8dc65717d9491555ae10b3083,bzx_dai,bzx_dai
0x103936aec861d7cfb2d5c7f9dd1a671085f5fdd3,bzx_dai,bzx_dai
0xc98797cd94c770bb27d1fa40ab68d3fd72769ee8,bzx_dai,bzx_dai
0xce0069ed75e8220de50af7cc8516f2b1b14eabd7,bzx_dai,bzx_dai
0xddffc5cc3cb486c3c07a15dc1b052e4bc2bff32f,bzx_dai,bzx_dai
0x28cae9608c689b26704089c66305acd50c881d94,bzx_dai,bzx_dai
0x26018c89851f49cbb75dad8a98c91bcae54e7106,bzx_dai,bzx_dai
0xa12aa89beb87332e8bfc2087956d11960e3d103e,bzx_dai,bzx_dai
0xd573051e50f97fd8fb7eec96e96f872996a36fa8,bzx_dai,bzx_dai
0xf6eb94e64fc7789a57fdf89fe2ffd2eb39b252e4,bzx_dai,bzx_dai
0xfaebaf8a26f249258aad8bfe54a5ed3f41ee8669,bzx_dai,bzx_dai
0xf6c05b440ec2e8c2d3f93cd803e2caa33bf73deb,bzx_dai,bzx_dai
0xc080e50a727df86f79d5d6bde40f2ef18deb81ea,bzx_dai,bzx_dai
0x5b7d7a7300adedbfadb0b3ffcad2036563837c87,bzx_dai,bzx_dai
0x4b64b6d20d8f21b2901f53e945b227793efb46b3,bzx_dai,bzx_dai
0x3e147ff794c74b6bffc2d56950da38a1e6b0fd94,bzx_dai,bzx_dai
0x7f7da2e09c3465e18f2c82080abeeb6b4de51dc4,bzx_dai,bzx_dai
0xe3d0c5a8a99afc9e2d3d23408b0c079437244af7,bzx_dai,bzx_dai
0x5806680e07ead2f57eea266583f781443d6bf648,bzx_dai,bzx_dai
0x8f6a694fe9d99f4913501e6592438598da415c9e,bzx_dai,bzx_dai
0x47b8691f80fe605f80af256d9f32f283f19e2f99,bzx_dai,bzx_dai
0xbeb49ad4e0ef9b3a56cc4a280fa4f5bc41ee3ef9,bzx_dai,bzx_dai
0x52380a7976ea131425c130eaa4de9bbda63f6b54,bzx_dai,bzx_dai
0x2c6bb2f4842d58b65acbb5ac9152dd622d72774d,bzx_dai,bzx_dai
0xf10ed760794d40fd7142daaa66ec4c4676301296,bzx_dai,bzx_dai
0x5fac3cec29d29efea78850b01b1c69d268b76933,bzx_dai,bzx_dai
0xf10ec4c8a77b97522e268aa06e70edca64d30067,bzx_dai,bzx_dai
0x141ef48a4bb746c1eeedceeb44790e87a4903948,bzx_dai,bzx_dai
0x62305662fa7c4bc442803b940d9192dbdc92d710,donation,donation
0x9b3be0cc5dd26fd0254088d03d8206792715588b,harvest_finance,harvest_finance
0xf8ce90c2710713552fb564869694b2505bfc0846,harvest_finance,harvest_finance
0x1429a930ec3bcf5aa32ef298ccc5ab09836ef587,inverse,inverse
0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,lendf_me,lendf_me
0x9893292300c4e530a14fb2526271732a2a9b3f05,lendf_me,lendf_me
0x932906251479106d96904184aa4985c1a291b35d,lendf_me,lendf_me
0x8ac3435fd089410a65c0e727ced5a9843f5492f2,lendf_me,lendf_me
0xc7d84bbda717a8347a5d48d084d39783e63d5ac9,lendf_me,lendf_me
0x45b1953611da41f841def7dceff318f83409739d,lendf_me,lendf_me
0x2bedb429f94040ea4d150e9cba39b23ea362b1bd,ousd,ousd
0x91b417bae2f17fbace1c0130c41f83fed42707bb,ousd,ousd
0xad0f262e569c84f39c95afaa20f79cf845e5e96b,ousd,ousd
0xe77ebe552ad1c9b94c08e10689cf646dc28ccd8f,ousd,ousd
0xa7f26e9aeeea4fe16d9c4a6a0464af8258f437bb,ousd,ousd
0x38dd5226989756a2414fc9bcf669a8fd9ba1e35d,ousd,ousd
0xf251cb9129fdb7e9ca5cad097de3ea70cab9d8f9,ousd,ousd
0x553845f9c44c43224620055eca64c6cc79f5ddfd,ousd,ousd
0x69a8b2ae6a3606b766be99c42328459167f51b25,ousd,ousd
0x0660bf15a89d8e90cba1b3f0ccf493c415b1369d,ousd,ousd
0xec7f2d7e21a875aee53b05eb511473a385d90d04,ousd,ousd
0xb95423e3ca13ce5336cb177b06cd4f647d2aad57,ousd,ousd
0xfbbe3090e06721168979818fe006a1fcb136e953,ousd,ousd
0x328d15f6b5eba1c30cde1a5f1f5a9e35b07f5424,ousd,ousd
0xf59ed1bba622271911f95b22ba42e9b76423589a,ousd,ousd
0xc4ff55a4329f84f9bf0f5619998ab570481ebb48,popsicle_usdt_weth,popsicle_usdt_weth
0x4afb2b3dc111d091ca6c46c024d1d2f17bf477e1,rari,rari
0x1a5655cbda3a2823568b87ecf5af12c509a54ec7,rari,rari
0x71041665f8d82b35f8fa15daa7c2e9010c1bb790,rari,rari
0x41075699b9580f220703e58d13ce38e33db9a447,rari,rari
0x35c674c288577df3e9b5dafef945795b741c7810,sanshu_inu,sanshu_inu
0x8764f2c305b79680cfcc3398a96aedea9260f7ff,value_defi,value_defi
0xddd7df28b1fb668b77860b473af819b03db61101,value_defi,value_defi
0x04bef870de607519c91d16a23434ad5745f62a63,xtoken,xtoken
0xacd43e627e64355f1861cec6d3a6688b31a6f952,yearn_finance_dai,yearn_finance_dai
0x5f890841f657d90e081babdb532a05996af79fe6,beanstalk,beanstalk
0x2bbd66fc4898242bdbd2583bbe1d76e8b8f71445,dodo,dodo
0x5ade7ae8660293f2ebfcefaba91d141d72d221e8,eminence,eminence
0xf786c34106762ab4eeb45a51b42a62470e9d5332,feg,feg
0x6807d7f7df53b7739f6438eabd40ab8c262c0aa8,force_dao,force_dao
0xc46304a0b2accc4462d9bdcaa0f6bf632510d617,li_finance,li_finance
0x990bf457a993bb5113ad56844dfe94ee7266c0b0,li_finance,li_finance
0x2ff24ddcb8cd91962c792f35b076e0405ce5baa3,li_finance,li_finance
0x1008080f1982e1df6613514f9ec4ed8e1a9f4f84,li_finance,li_finance
0x69df07bc9f91206406c85105342d2bdf4363f7c5,li_finance,li_finance
0xa0239e30356ba1c40ece298f6d18c0ad0cbaf1e1,li_finance,li_finance
0xb4b4f5d0119f27601471a9392d78788538d52e8c,li_finance,li_finance
0x517f5d5f94d2f6faa48ad889467ccf470064ba43,li_finance,li_finance
0xdc4d8ca72db2bf3eba717a48e177ed5db6aa8ff6,li_finance,li_finance
0x8e4f06714447c7ce83372c77ada9cbc4daffd724,li_finance,li_finance
0x2b42442c615c94a262b29e3a77462cc7b89d9ce6,li_finance,li_finance
0x2abfcca3672a853370f59421c6c6f72e5f215d96,li_finance,li_finance
0x8a017f915029e908bad589ef0f2af84d9dd4c976,li_finance,li_finance
0xc0b60c746c74c4a898651a3c11c42b7eb1f9844a,li_finance,li_finance
0xe73b96b69870e9db5a5283e674f9fe62c89cc7a2,li_finance,li_finance
0x4f932770648a1f53c19342d38bc02dba06527246,li_finance,li_finance
0x62f7dc4742ed19716fd4e4fd1aa79b6ec2dcced8,li_finance,li_finance
0xa2a22b46b8df38cd7c55e6bf32ea5a32637cf2b1,meter_io,meter_io
0x9536a78440f72f5e9612949f1848fe5e9d4934cc,nowswap,nowswap
0x951d51baefb72319d9fbe941e1615938d89abfe2,opyn,opyn
0xa430b280b61f3314ec900690abc229ce2b626e5c,orion,orion
0xe4fe6a45f354e845f954cddee6084603cedb9410,sashimiswap,sashimiswap
0x0f6b0960d2569f505126341085ed7f0342b67dae,snood,snood
0x767a2180335caaf060ea4ca4e858efc6d7f1f5e8,team_finance,team_finance
0xd4745c03d9b9d5bbeabb952cd5ad3f97ca64c675,team_finance,team_finance
0x62bec667dc3c9eba0e16578d11604cf01a7c8b91,team_finance,team_finance
0x3ef7442df454ba6b7c1deec8ddf29cfb2d6e56c7,team_finance,team_finance
0xb8a00e3f653c4ea6a38eee379f827361e0a9a5aa,team_finance,team_finance
0x2a20a12216cc43d4469fc94ae051f245a02c7d3a,team_finance,team_finance
0x13f23dbea59e4d9009f99258d45eed9527d204a6,team_finance,team_finance
0x48d118c9185e4dbafe7f3813f8f29ec8a6248359,team_finance,team_finance
0x42a5ed456650a09dc10ebc6361a7480fdd61f27b,thorchain,thorchain
0xc145990e84155416144c532e31f89b840ca8c2ce,thorswap_routerv2,thorswap_routerv2
0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,uniswapv2,uniswapv2
0x8dde0a1481b4a14bc1015a5a8b260ef059e9fd89,vesper_finance,vesper_finance
0x20e5e35ba29dc3b540a1aee781d0814d5c77bce6,TransparentUpgradeableProxy,@openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol
0x20e5e35ba29dc3b540a1aee781d0814d5c77bce6,TransparentUpgradeableProxy,@openzeppelin/contracts/proxy/transparent/TransparentUpgradeableProxy.sol
0x34cfac646f301356faa8b21e94227e3583fe3f5f,GnosisSafe,GnosisSafe
0x48d118c9185e4dbafe7f3813f8f29ec8a6248359,LockToken,LockToken
0xc5d105e63711398af9bbff092d4b6769c82f793d,BecToken,BecToken
0xc5d105e63711398af9bbff092d4b6769c82f793d,BecToken,BecToken
0x53773fe5ff4451c896127dd2c91b8de7ac51ba2c,,
0x14e6d67f824c3a7b4329d3228807f8654294e4bd,,
0x55f93985431fc9304077687a35a1ba103dc1e081,SMT,SMT
0x55f93985431fc9304077687a35a1ba103dc1e081,SMT,SMT
0xf91546835f756da0c10cfa0cda95b15577b84aa7,LedgerChannel,LedgerChannel
0x6046c3ab74e6ce761d218b9117d5c63200f4b406,WarpVaultSC,WarpVaultSC
0x8dde0a1481b4a14bc1015a5a8b260ef059e9fd89,,
0x8dde0a1481b4a14bc1015a5a8b260ef059e9fd89,,
0x67e70eeb9dd170f7b4a9ef620720c9069d5e706c,CErc20Delegate,CErc20Delegate.sol
